,Date,User,Tweet
0,2022-05-13 14:56:21+00:00,MikeDamini,"@sam_adeyemi Come and take my Position as the Next President of Nigeria 🇳🇬, siram tired 

The people managing my office and the administration in Asorock Abuja, are all Confuse, please do something sir?"
1,2022-05-13 14:55:51+00:00,Psalmist1904,"Lord lugard wanted one Nigeria, he didn't even see this coming. Those who brought religion to us didn't see this coming. One Nigeria never existed.

President of Nigeria no ronaldo Jesus is God Mane Quran"
2,2022-05-13 14:55:49+00:00,Olubaks1,"So none of these people that wanna become The President Of Nigeria will comment on the murder of Deborah 🤦🤦
This shows how selfish these people are....even the so called pastor @ProfOsinbajo 

#shame"
3,2022-05-13 14:55:27+00:00,Sohmtoh,"Please retweet 🤲🤲

Super clean 2008 Toyota Camry Nigerian used Toks standard

Price - 2.7m

Location - Lagos

Call/WhatsApp - 08137094071

Imam
President of Nigeria
Jesus is God
#WhitemoneyNaWeWe https://t.co/OAGEmBQG8q"
4,2022-05-13 14:55:06+00:00,Nkemchor_,This is a scam. Peter Obi is well capable to handle our affairs as President of Nigeria.  We will skip! 😃 https://t.co/wutmsr3f0l
5,2022-05-13 14:54:51+00:00,Lilwhess,"It's been over 24hrs now &amp; the so called president of Nigeria hasn't uttered a word about Deborah's gruesome death in sokoto...
I pray God doesn't allow a man as incompetent &amp; self centered as buhari rule us again.
#PeterObi4President #GiveUsPeterObi2023 #JusticeForDeborah #Atiku"
6,2022-05-13 14:54:04+00:00,iamdavidsmallz,Give us anybody but a northerner and bola Ahmed tinubu As president of Nigeria in 2023!
7,2022-05-13 14:53:42+00:00,Joepapichulo,Your blood group is AA. This is SS. If you like turn to AS. You can never become the president of Nigeria. https://t.co/dZIockq9wZ
8,2022-05-13 14:53:22+00:00,ChiemekaIheme,"Peter Obi should go for the President of Nigeria or Nothing..

He should not settle for Vice Presidency to Atiku, otherwise they'll TAINT his Image the same way APC and Buhari did to Yemi Osibanjo.

I've Spoken. https://t.co/ZAjPYZ35BP"
9,2022-05-13 14:52:59+00:00,benny6ix_,"We woke up today morning  and God decided to show us why Atiku should never be President of Nigeria.

Thank you dear Lord https://t.co/6kMVVFVFAX"
10,2022-05-13 14:52:53+00:00,kaminajsmith,"What an honour to spend a few light moments with H.E. Olusegun #Obasanjo, Former President of #Nigeria within an hour of landing in #Abuja and what a blessing to have his well wishes for my trip. History and many friendships bind 🇯🇲 and 🇳🇬 @Oolusegun_obj https://t.co/tCyCJMvA2P"
11,2022-05-13 14:52:40+00:00,Merita_baby,"We don't want a president who would cower to save his political ambitions.
@OfficialPDPNig if Atiku gets your tickets, I'll rather vote for buhari for a 3rd term, than vote for a coward.

I'll not vote for a president of Nigeria who doesn't have a voice.
#JusticeForDeborah"
12,2022-05-13 14:52:02+00:00,okestan77,"Am saying it Loud and clear, if @atiku becomes the president of Nigeria, he will be worse than @MBuhari. Mark my word."
13,2022-05-13 14:51:10+00:00,GoodnessN_77,"You are never going to be the president of Nigeria ‼️

#JusticeForDeborah   president of Nigeria Atiku"
14,2022-05-13 14:50:16+00:00,obinnavictor_u,"#RHOLagos Episode 6 - The amazing moment Nollywood yoruba actress Iyabo Ojo and her daughter had a runway at Laura's fashion show while rocking her collections. Full video 👉 https://t.co/TzYW3ctxWD
.
Toyin Virony #WhitemoneyNaWeWe Professor President of Nigeria Jesus is God https://t.co/g3wxfGxhrT"
15,2022-05-13 14:49:51+00:00,chidimmagrace39,"We have seen many reasons why #atiku cannot be president of Nigeria and we overlooked it 
1. When twitter was banned in Nigeria, who remembered his post?
2. He supported the killing of a Christian girl in #sokoto
#ASUU"
16,2022-05-13 14:49:49+00:00,Ladyfanta6,"Just bcos he was scared of losing votes from the North. His political agenda is more important to him than Human life.Says a lot about the Man.Everyone now sees him for what he really is. may such a person never be the President of Nigeria😭.
#GiveUsPeterObi 
#PeterObi4President"
17,2022-05-13 14:49:39+00:00,okolicharles1,"Atiku has shown the kind of President of Nigeria he will become, speaking from both sides of the cheeks. He deliberately omitted his signature in the first tweet so that the denial will fall in place. He mustn't be voted in #GiveUsPeterObi2023 One Nigeria Delegates Igbos Tambuwal"
18,2022-05-13 14:48:42+00:00,DynamikWigs,"Just in::Lush straight virgin wig..very straight, unique and classy
Special hair meant fr dynamik queens
It's unique in nature nt your regular wig
20inches wit closure is 50k
Wit frontal 60k
10_20inches instock
07065610786
#Imam#presidentofnigeria#whitemoneyNaWeWe#Igbo and shayo https://t.co/CLIOcDMxln"
19,2022-05-13 14:48:23+00:00,Twenty_naira,"This is something we should not take lightly. Our hospital principals should be vigilant, please.

There are many Christopher's in our hospitals.

Boko Haram / One Nigeria / Hadith / Qur'an / President of Nigeria / Atiku / Imam https://t.co/y07A2R4TmN"
20,2022-05-13 14:48:02+00:00,timtunday,"Don't try this at home! 

President of Nigeria Imam Sheikh Khalifa Mason Mount Lukaku Prophet Chilwell No Ronaldo #Lukaku https://t.co/xcccsqst7I"
21,2022-05-13 14:47:21+00:00,ChuksOjinta,You want to be the #presidentofNigeria but lacks the gut to condemn evil because of your political interest. Your ambition will not come to pass
22,2022-05-13 14:47:02+00:00,ObiHarrisonNna2,"@atiku  just lost votes/legacy/ambition from both the north and south from just one tweet. My advice to @OfficialPDPNig  is that think twice before giving your aspirant the presidential ticket, if not it's over for you guys. @PeterObi will be the President of Nigeria. If only ..!"
23,2022-05-13 14:46:37+00:00,joceelaurens_,My humble self with the Future President of Nigeria come 2023 🇳🇬 H.E Peter Obi - PO https://t.co/jyAZEsKixG
24,2022-05-13 14:46:05+00:00,AfolabiAjibade3,"Something I've discovered many years back🙄
Some Nigerians just got to know Why ATIKU can never be President of Nigeria yesterday https://t.co/n4mC23aweP"
25,2022-05-13 14:45:55+00:00,NnamdiCJ1,"People who don’t know the cost of a life, who don’t know how a fetus is formed in the womb of a woman, who are not responsible for the Oxygen humans breath are busy taking lives &amp; making excuses to justify their actions.If men were God😔
President of Nigeria One Nigeria Professor"
26,2022-05-13 14:45:42+00:00,Herdeybaryor04,"Please where is LAGBAJA.. I missed all those his wonderful songs!

Dbanj face show| President of Nigeria| Burnaboy"
27,2022-05-13 14:45:02+00:00,Xchange9ja,"Scammers plenty outside wey wan rip you, be wise don't fall into their hands 

Burnaboy, Davido, The Samples, StandStrong, Igbo and Shayo, President of Nigeria https://t.co/1BFpTp0KAH"
28,2022-05-13 14:44:55+00:00,VictorMartinsE5,"@DailyPostNGR Funny you, you were thinking the the VP will speak-up as a VP/Pastor right? He as already told Nigerians, that he wants to  be the president of Nigeria so he can govern Nigeria the same way buhari is governing.."
29,2022-05-13 14:44:34+00:00,UzoanyaP,"Deleting this shows your empathy to those who murder Deborah Yakubu.

You are going to be worse than Buhari as President of Nigeria. https://t.co/noZgT42iW8"
30,2022-05-13 14:44:25+00:00,giftmalachy1,"After seeing some comment's  of some person  on  social media 
God , I feel so sorry for Nigeria 
That is  why I'm campaigning for @peterobi to be the  president of Nigeria  .@novieverest
@FS_Yusuf_ @firstladyship @SaharaReporters @"
31,2022-05-13 14:44:18+00:00,faveokenwa,#Atiku  Abubakar ( a man seeking to be president of Nigeria ) choose a side when he should have stood with the truth! We will never forget‼️‼️‼️. #Deborah #Blasphemy
32,2022-05-13 14:44:02+00:00,tarilamurphy,"Where are the people that want to be President Of Nigeria. Let them come and condemn this Sokoto killing with their handle here then we know who truly is going is fit to be the President Of Nigeria.
#Atiku #Tinubu #Osinbajo #PeterObi"
33,2022-05-13 14:43:53+00:00,Tommy_Wezz,"Still available for sale.
Few months used Toyota Avalon XLE
Everything intact 
Price: 2.7m 
Pls RT, buyer might be on ur TL🙏
Call/WhatsApp: 07063683268

Jesus is God One Nigeria Sheikh Khalifa Professor President of Nigeria #Lukaku Igbo and Shayo Chilwell Mason Mount Burna Boy https://t.co/3dVzx4vhTg"
34,2022-05-13 14:43:42+00:00,AnyiOfficial_,"Not just Atiku but all running for President of Nigeria, I just wish somehow  none get there, this has become a joke to all of them."
35,2022-05-13 14:42:56+00:00,health_and_fact,So alot of people really was at first counted Atiku worthy to be the President of Nigeria before now. Laughable.
36,2022-05-13 14:42:53+00:00,kokomatic,"If elections are won by fine billboards, Hayatu Deen would be the next president of Nigeria."
37,2022-05-13 14:40:24+00:00,Ajiangeleyes,"So, Atiku Abubakar heard about votes and then backtracked and deleted his post condemning the killing of Deborah. As surely as the Lord God lives, even if he wins PDP primaries, he will not become the President of Nigeria."
38,2022-05-13 14:40:10+00:00,MrSaviourIsong,"Professor @MoghaluKingsley for President of Nigeria.
A VOTE for professor Moghalu is not a waste vote but FRUITFUL for all Nigerians and One Nigeria that works for all.
#EveryBodyMatters #Moghalu4Nigeria https://t.co/FbwUcBk2jL"
39,2022-05-13 14:39:37+00:00,IfedolapoOsun,"All this is happening when Buhari became the president of Nigeria.

So sad"
40,2022-05-13 14:39:15+00:00,MrsObia,"You don’t want Igbos to be president of Nigeria , you still don’t want to give them freedom.
Too much fear for a small ethnic group that possesses so much.  #One Nigeria #Nigeria #President #PeterObi4President"
41,2022-05-13 14:39:05+00:00,blunt_cookie,"You southerners that are supporting one Nigeria,are your eyes open now or are you still swimming in your foolery?

Professor   Igbo and Shayo   Imam
President of Nigeria  Terrorist
Blasphemy   Kaduna   Atiku
Shehu Shagari   Lord Luggard"
